country,2005_DS,2006_DS,2012_DS,2013_DS,2005_HDI,2006_HDI,2012_HDI,2013_HDI
Afghanistan,39.6,40.6,51.5,53.0,0.405,0.415,0.47,0.476
Albania,46.9,46.3,45.0,44.6,0.696,0.703,0.759,0.761
Algeria,,,,,0.686,0.69,0.737,0.741
Andorra,75.2,75.6,78.5,79.3,,,0.843,0.85
Angola,24.8,22.2,20.0,18.7,0.439,0.454,0.523,0.527
Antigua and Barbuda,72.6,68.3,72.0,71.3,0.773,0.781,0.781,0.782
Argentina,48.5,48.7,53.7,53.9,0.782,0.788,0.823,0.825
Armenia,29.7,30.9,45.7,45.7,0.692,0.707,0.736,0.739
Australia,64.4,63.7,65.4,66.4,0.915,0.918,0.933,0.936
Austria,60.6,60.7,62.0,62.3,0.854,0.86,0.887,0.892
Azerbaijan,24.8,22.2,29.2,30.9,0.682,0.708,0.745,0.752
Bahamas,82.2,78.9,76.9,78.8,0.788,0.79,0.79,0.789
Bahrain,,,51.2,50.8,0.81,0.813,0.815,0.82
Bangladesh,52.9,52.7,53.2,53.4,0.506,0.513,0.565,0.57
Barbados,70.5,71.0,72.5,73.2,0.766,0.771,0.792,0.793
Belarus,39.6,40.8,43.3,45.4,0.723,0.739,0.796,0.796
Belgium,66.1,66.1,68.6,68.9,0.865,0.871,0.889,0.89
Belize,62.4,60.2,60.3,60.1,0.692,0.7,0.706,0.705
Benin,37.4,37.6,47.6,47.5,0.434,0.438,0.466,0.475
Bhutan,38.1,37.6,36.5,36.3,,,0.589,0.596
Bolivia,46.8,43.1,40.4,40.2,0.625,0.626,0.661,0.666
Bosnia and Herzegovina,54.7,52.7,56.9,56.2,0.697,0.703,0.735,0.742
Botswana,45.3,38.8,48.4,49.1,0.61,0.63,0.693,0.697
Brazil,56.1,57.1,58.7,59.7,0.698,0.7,0.734,0.747
Brunei,27.5,26.1,26.7,29.3,0.837,0.84,0.86,0.863
Bulgaria,53.6,52.9,57.0,57.8,0.75,0.755,0.781,0.787
Burkina Faso,40.2,43.1,37.4,40.1,0.325,0.334,0.392,0.398
Cambodia,39.1,38.7,37.8,38.5,0.483,0.495,0.546,0.553
Cameroon,50.7,49.5,52.0,52.5,0.456,0.456,0.501,0.507
Canada,,,64.9,64.9,0.891,0.894,0.909,0.912
Cape Verde,71.8,72.6,62.2,61.8,0.596,0.602,0.643,0.643
Central African Republic,29.2,29.1,30.4,34.6,0.323,0.33,0.37,0.345
Chad,35.1,32.5,31.8,33.0,0.303,0.306,0.387,0.39
Chile,50.5,47.2,55.6,56.9,0.796,0.797,0.831,0.841
China,41.3,41.8,45.3,46.7,0.646,0.659,0.713,0.723
Colombia,53.8,52.9,51.1,52.2,0.669,0.675,0.712,0.72
Comoros,47.0,47.4,51.8,53.0,0.451,0.459,0.49,0.497
